location,day,number of orders,percentage of deliveries
Bryant Park,2018-01-01,373,0.0
Bryant Park,2018-01-02,789,0.0
Bryant Park,2018-01-03,818,0.0
Bryant Park,2018-01-04,782,0.0
Bryant Park,2018-01-05,719,0.0
Bryant Park,2018-01-08,809,0.0
Bryant Park,2018-01-09,857,0.0
Bryant Park,2018-01-10,907,0.0
Bryant Park,2018-01-11,911,0.0
Bryant Park,2018-01-12,892,0.0
Bryant Park,2018-01-15,463,0.0
Bryant Park,2018-01-16,872,0.0
Bryant Park,2018-01-17,859,0.0
Bryant Park,2018-01-18,836,0.0
Bryant Park,2018-01-19,802,0.0
Bryant Park,2018-01-22,898,0.0
Bryant Park,2018-01-23,927,0.0
Bryant Park,2018-01-24,852,0.0
Bryant Park,2018-01-25,854,0.0
Bryant Park,2018-01-26,823,0.0
Bryant Park,2018-01-29,863,0.0
Bryant Park,2018-01-30,829,0.0
Bryant Park,2018-01-31,872,0.0
Bryant Park,2018-02-01,847,0.0
Bryant Park,2018-02-02,796,0.0
Bryant Park,2018-02-05,899,0.0
Bryant Park,2018-02-06,910,0.0
Bryant Park,2018-02-07,835,0.0
Bryant Park,2018-02-08,835,0.0
Bryant Park,2018-02-09,895,0.0
Bryant Park,2018-02-12,898,0.0
Bryant Park,2018-02-13,848,0.0
Bryant Park,2018-02-14,893,0.0
Bryant Park,2018-02-15,900,0.0
Bryant Park,2018-02-16,886,0.0
Bryant Park,2018-02-19,521,0.0
Bryant Park,2018-02-20,924,0.0
Bryant Park,2018-02-21,878,0.0
Bryant Park,2018-02-22,916,0.0
Bryant Park,2018-02-23,861,0.0
Bryant Park,2018-02-26,938,0.0
Bryant Park,2018-02-27,902,0.0
Bryant Park,2018-02-28,907,0.0
Bryant Park,2018-03-01,943,0.0
Bryant Park,2018-03-02,813,0.0
Bryant Park,2018-03-05,833,0.0
Bryant Park,2018-03-06,882,0.0
Bryant Park,2018-03-07,865,0.0
Bryant Park,2018-03-08,872,0.0
Bryant Park,2018-03-09,903,0.0
Bryant Park,2018-03-12,853,0.0
Bryant Park,2018-03-13,861,0.0
Bryant Park,2018-03-14,915,0.0
Bryant Park,2018-03-15,854,0.0
Bryant Park,2018-03-16,863,0.0
Bryant Park,2018-03-19,876,0.0
Bryant Park,2018-03-20,856,0.0
Bryant Park,2018-03-21,847,0.0
Bryant Park,2018-03-22,876,0.0
Bryant Park,2018-03-23,920,0.0
Bryant Park,2018-03-26,919,0.0
Bryant Park,2018-03-27,896,0.0
Bryant Park,2018-03-28,921,0.0
Bryant Park,2018-03-29,921,0.0
Bryant Park,2018-03-30,879,0.0
Bryant Park,2018-04-02,887,0.0
Bryant Park,2018-04-03,829,0.0
Bryant Park,2018-04-04,849,0.0
Bryant Park,2018-04-05,891,0.0
Bryant Park,2018-04-06,846,0.0
Bryant Park,2018-04-09,883,0.0
Bryant Park,2018-04-10,945,0.0
Bryant Park,2018-04-11,918,0.0
Bryant Park,2018-04-12,876,0.0
Bryant Park,2018-04-13,825,0.0
Bryant Park,2018-04-16,829,0.0
Bryant Park,2018-04-17,873,0.0
Bryant Park,2018-04-18,912,0.0
Bryant Park,2018-04-19,873,0.0
Bryant Park,2018-04-20,881,0.0
Bryant Park,2018-04-23,842,0.0
Bryant Park,2018-04-24,907,0.0
Bryant Park,2018-04-25,916,0.0
Bryant Park,2018-04-26,904,0.0
Bryant Park,2018-04-27,904,0.0
Bryant Park,2018-04-30,884,0.0
Bryant Park,2018-05-01,889,0.08998875140607424
Bryant Park,2018-05-02,811,0.10110974106041924
Bryant Park,2018-05-03,790,0.10126582278481013
Bryant Park,2018-05-04,874,0.12700228832951946
Bryant Park,2018-05-07,911,0.06586169045005488
Bryant Park,2018-05-08,921,0.08143322475570032
Bryant Park,2018-05-09,926,0.091792656587473
Bryant Park,2018-05-10,941,0.09883103081827843
Bryant Park,2018-05-11,933,0.0782422293676313
Bryant Park,2018-05-14,905,0.09392265193370165
Bryant Park,2018-05-15,918,0.10130718954248366
Bryant Park,2018-05-16,945,0.09947089947089947
Bryant Park,2018-05-17,973,0.08735868448098665
Bryant Park,2018-05-18,922,0.09544468546637744
Bryant Park,2018-05-21,911,0.10428100987925357
Bryant Park,2018-05-22,933,0.09860664523043944
Bryant Park,2018-05-23,870,0.09655172413793103
Bryant Park,2018-05-24,840,0.11190476190476191
Bryant Park,2018-05-25,798,0.09899749373433583
Bryant Park,2018-05-28,493,0.07505070993914807
Bryant Park,2018-05-29,837,0.0955794504181601
Bryant Park,2018-05-30,956,0.10460251046025104
Bryant Park,2018-05-31,937,0.09071504802561366
Bryant Park,2018-06-01,961,0.10822060353798127
Bryant Park,2018-06-04,951,0.09779179810725552
Bryant Park,2018-06-05,932,0.09763948497854077
Bryant Park,2018-06-06,869,0.09205983889528194
Bryant Park,2018-06-07,891,0.0931537598204265
Bryant Park,2018-06-08,862,0.09976798143851508
Bryant Park,2018-06-11,924,0.09523809523809523
Bryant Park,2018-06-12,882,0.09183673469387756
Bryant Park,2018-06-13,882,0.09070294784580499
Bryant Park,2018-06-14,864,0.10185185185185185
Bryant Park,2018-06-15,914,0.11816192560175055
Bryant Park,2018-06-18,744,0.10887096774193548
Bryant Park,2018-06-19,839,0.12276519666269368
Bryant Park,2018-06-20,822,0.10218978102189781
Bryant Park,2018-06-21,827,0.10519951632406288
Bryant Park,2018-06-22,882,0.0782312925170068
Bryant Park,2018-06-25,884,0.1255656108597285
Bryant Park,2018-06-26,904,0.10730088495575221
Bryant Park,2018-06-27,925,0.0972972972972973
Bryant Park,2018-06-28,848,0.11438679245283019
Bryant Park,2018-06-29,806,0.11662531017369727
Bryant Park,2018-07-02,791,0.11504424778761062
Bryant Park,2018-07-03,822,0.10948905109489052
Bryant Park,2018-07-04,440,0.08863636363636364
Bryant Park,2018-07-05,778,0.10796915167095116
Bryant Park,2018-07-06,842,0.10095011876484561
Bryant Park,2018-07-09,800,0.10375
Bryant Park,2018-07-10,791,0.1302149178255373
Bryant Park,2018-07-11,834,0.10431654676258993
Bryant Park,2018-07-12,861,0.09639953542392567
Bryant Park,2018-07-13,865,0.12023121387283237
Bryant Park,2018-07-16,780,0.10256410256410256
Bryant Park,2018-07-17,877,0.11630558722919042
Bryant Park,2018-07-18,831,0.10469314079422383
Bryant Park,2018-07-19,844,0.11018957345971564
Bryant Park,2018-07-20,824,0.10436893203883495
Bryant Park,2018-07-23,802,0.09476309226932668
Bryant Park,2018-07-24,825,0.09696969696969697
Bryant Park,2018-07-25,851,0.11515863689776733
Bryant Park,2018-07-26,836,0.09449760765550239
Bryant Park,2018-07-27,872,0.11467889908256881
Bryant Park,2018-07-30,871,0.10677382319173363
Bryant Park,2018-07-31,799,0.0951188986232791
Bryant Park,2018-08-01,756,0.10317460317460317
Bryant Park,2018-08-02,811,0.10974106041923551
Bryant Park,2018-08-03,805,0.1031055900621118
Bryant Park,2018-08-06,765,0.10326797385620914
Bryant Park,2018-08-07,780,0.09487179487179487
Bryant Park,2018-08-08,846,0.11465721040189125
Bryant Park,2018-08-09,753,0.10358565737051793
Bryant Park,2018-08-10,808,0.11262376237623763
Bryant Park,2018-08-13,873,0.09965635738831616
Bryant Park,2018-08-14,864,0.1284722222222222
Bryant Park,2018-08-15,772,0.11658031088082901
Bryant Park,2018-08-16,788,0.09644670050761421
Bryant Park,2018-08-17,819,0.08913308913308914
Bryant Park,2018-08-20,859,0.0919674039580908
Bryant Park,2018-08-21,903,0.10520487264673312
Bryant Park,2018-08-22,816,0.09313725490196079
Bryant Park,2018-08-23,853,0.11371629542790153
Bryant Park,2018-08-24,838,0.11813842482100238
Bryant Park,2018-08-27,823,0.11300121506682867
Bryant Park,2018-08-28,770,0.09350649350649351
Bryant Park,2018-08-29,757,0.1215323645970938
Bryant Park,2018-08-30,814,0.11547911547911548
Bryant Park,2018-08-31,861,0.09059233449477352
Bryant Park,2018-09-03,431,0.11136890951276102
Bryant Park,2018-09-04,812,0.09975369458128079
Bryant Park,2018-09-05,848,0.10613207547169812
Bryant Park,2018-09-06,796,0.12185929648241206
Bryant Park,2018-09-07,917,0.09269356597600872
Bryant Park,2018-09-10,953,0.09024134312696747
Bryant Park,2018-09-11,910,0.0912087912087912
Bryant Park,2018-09-12,957,0.10867293625914315
Bryant Park,2018-09-13,888,0.09121621621621621
Bryant Park,2018-09-14,861,0.09523809523809523
Bryant Park,2018-09-17,827,0.09552599758162031
Bryant Park,2018-09-18,894,0.12863534675615212
Bryant Park,2018-09-19,900,0.08888888888888889
Bryant Park,2018-09-20,891,0.09539842873176206
Bryant Park,2018-09-21,931,0.09881847475832438
Bryant Park,2018-09-24,922,0.08351409978308026
Bryant Park,2018-09-25,953,0.11962224554039874
Bryant Park,2018-09-26,846,0.11583924349881797
Bryant Park,2018-09-27,906,0.09602649006622517
Bryant Park,2018-09-28,938,0.09594882729211088
Bryant Park,2018-10-01,889,0.09786276715410573
Bryant Park,2018-10-02,881,0.09534619750283768
Bryant Park,2018-10-03,932,0.0890557939914163
Bryant Park,2018-10-04,892,0.10089686098654709
Bryant Park,2018-10-05,927,0.07659115426105717
Bryant Park,2018-10-08,478,0.0899581589958159
Bryant Park,2018-10-09,953,0.10388247639034627
Bryant Park,2018-10-10,956,0.09205020920502092
Bryant Park,2018-10-11,976,0.14754098360655737
Bryant Park,2018-10-12,994,0.09154929577464789
Bryant Park,2018-10-15,948,0.0770042194092827
Bryant Park,2018-10-16,961,0.09989594172736732
Bryant Park,2018-10-17,993,0.08962739174219536
Bryant Park,2018-10-18,957,0.0877742946708464
Bryant Park,2018-10-19,931,0.09022556390977443
Bryant Park,2018-10-22,1003,0.0847457627118644
Bryant Park,2018-10-23,993,0.09667673716012085
Bryant Park,2018-10-24,942,0.07749469214437367
Bryant Park,2018-10-25,1002,0.08882235528942116
Bryant Park,2018-10-26,937,0.10992529348986126
Bryant Park,2018-10-29,1027,0.09250243427458617
Bryant Park,2018-10-30,975,0.08615384615384615
Bryant Park,2018-10-31,1001,0.07092907092907093
Bryant Park,2018-11-01,890,0.08314606741573034
Bryant Park,2018-11-02,903,0.09966777408637874
Bryant Park,2018-11-05,930,0.09032258064516129
Bryant Park,2018-11-06,930,0.13010752688172042
Bryant Park,2018-11-07,911,0.09110867178924259
Bryant Park,2018-11-08,915,0.07540983606557378
Bryant Park,2018-11-09,886,0.1252821670428894
Bryant Park,2018-11-12,512,0.08984375
Bryant Park,2018-11-13,918,0.09041394335511982
Bryant Park,2018-11-14,879,0.11376564277588168
Bryant Park,2018-11-15,887,0.1386696730552424
Bryant Park,2018-11-16,938,0.09381663113006397
Bryant Park,2018-11-19,988,0.09615384615384616
Bryant Park,2018-11-20,947,0.1003167898627244
Bryant Park,2018-11-21,868,0.1175115207373272
Bryant Park,2018-11-22,457,0.11597374179431072
Bryant Park,2018-11-23,884,0.1334841628959276
Bryant Park,2018-11-26,902,0.11086474501108648
Bryant Park,2018-11-27,912,0.08881578947368421
Bryant Park,2018-11-28,919,0.11099020674646355
Bryant Park,2018-11-29,870,0.10689655172413794
Bryant Park,2018-11-30,884,0.11990950226244344
Bryant Park,2018-12-03,954,0.08490566037735849
Bryant Park,2018-12-04,987,0.11752786220871327
Bryant Park,2018-12-05,983,0.12309257375381485
Bryant Park,2018-12-06,972,0.10493827160493827
Bryant Park,2018-12-07,990,0.11515151515151516
Bryant Park,2018-12-10,1021,0.11851126346718903
Bryant Park,2018-12-11,1053,0.10161443494776828
Bryant Park,2018-12-12,1003,0.11465603190428714
Bryant Park,2018-12-13,955,0.0806282722513089
Bryant Park,2018-12-14,1005,0.08159203980099503
Bryant Park,2018-12-17,1055,0.08436018957345971
Bryant Park,2018-12-18,966,0.11076604554865424
Bryant Park,2018-12-19,976,0.1014344262295082
Bryant Park,2018-12-20,992,0.08870967741935484
Bryant Park,2018-12-21,1015,0.10935960591133005
Bryant Park,2018-12-24,1033,0.10358180058083252
Bryant Park,2018-12-25,532,0.09586466165413533
Bryant Park,2018-12-26,936,0.10042735042735043
Bryant Park,2018-12-27,1019,0.10402355250245339
Bryant Park,2018-12-28,1015,0.11625615763546798
Bryant Park,2018-12-31,969,0.13312693498452013
Columbia,2018-01-01,519,0.1579961464354528
Columbia,2018-01-02,547,0.12614259597806216
Columbia,2018-01-03,532,0.12406015037593984
Columbia,2018-01-04,502,0.15338645418326693
Columbia,2018-01-05,477,0.17819706498951782
Columbia,2018-01-06,476,0.1869747899159664
Columbia,2018-01-07,494,0.15587044534412955
Columbia,2018-01-08,565,0.11327433628318584
Columbia,2018-01-09,595,0.10588235294117647
Columbia,2018-01-10,591,0.08798646362098139
Columbia,2018-01-11,662,0.07854984894259819
Columbia,2018-01-12,666,0.08108108108108109
Columbia,2018-01-13,636,0.15880503144654087
Columbia,2018-01-14,618,0.11165048543689321
Columbia,2018-01-15,701,0.1383737517831669
Columbia,2018-01-16,737,0.1248303934871099
Columbia,2018-01-17,694,0.14121037463976946
Columbia,2018-01-18,704,0.15482954545454544
Columbia,2018-01-19,774,0.1330749354005168
Columbia,2018-01-20,669,0.07174887892376682
Columbia,2018-01-21,745,0.12348993288590604
Columbia,2018-01-22,752,0.13297872340425532
Columbia,2018-01-23,767,0.12516297262059975
Columbia,2018-01-24,705,0.11773049645390071
Columbia,2018-01-25,700,0.13142857142857142
Columbia,2018-01-26,710,0.09436619718309859
Columbia,2018-01-27,780,0.09615384615384616
Columbia,2018-01-28,737,0.0814111261872456
Columbia,2018-01-29,722,0.08310249307479224
Columbia,2018-01-30,736,0.12907608695652173
Columbia,2018-01-31,783,0.12005108556832694
Columbia,2018-02-01,806,0.10173697270471464
Columbia,2018-02-02,754,0.13262599469496023
Columbia,2018-02-03,687,0.11062590975254731
Columbia,2018-02-04,785,0.14394904458598726
Columbia,2018-02-05,794,0.11838790931989925
Columbia,2018-02-06,793,0.11349306431273644
Columbia,2018-02-07,770,0.17142857142857143
Columbia,2018-02-08,781,0.16005121638924455
Columbia,2018-02-09,763,0.09305373525557012
Columbia,2018-02-10,782,0.12148337595907928
Columbia,2018-02-11,770,0.09480519480519481
Columbia,2018-02-12,780,0.08076923076923077
Columbia,2018-02-13,760,0.12236842105263158
Columbia,2018-02-14,803,0.07970112079701121
Columbia,2018-02-15,776,0.10309278350515463
Columbia,2018-02-16,783,0.08301404853128991
Columbia,2018-02-17,830,0.10240963855421686
Columbia,2018-02-18,786,0.10814249363867684
Columbia,2018-02-19,790,0.09240506329113925
Columbia,2018-02-20,770,0.08441558441558442
Columbia,2018-02-21,778,0.09640102827763496
Columbia,2018-02-22,762,0.10498687664041995
Columbia,2018-02-23,764,0.10209424083769633
Columbia,2018-02-24,798,0.08395989974937343
Columbia,2018-02-25,791,0.09102402022756005
Columbia,2018-02-26,788,0.07741116751269035
Columbia,2018-02-27,770,0.07922077922077922
Columbia,2018-02-28,828,0.07971014492753623
Columbia,2018-03-01,783,0.070242656449553
Columbia,2018-03-02,765,0.13333333333333333
Columbia,2018-03-03,804,0.08208955223880597
Columbia,2018-03-04,785,0.1197452229299363
Columbia,2018-03-05,745,0.10201342281879194
Columbia,2018-03-06,819,0.10378510378510379
Columbia,2018-03-07,743,0.12516823687752354
Columbia,2018-03-08,767,0.10560625814863103
Columbia,2018-03-09,751,0.10652463382157124
Columbia,2018-03-10,757,0.1096433289299868
Columbia,2018-03-11,833,0.08043217286914765
Columbia,2018-03-12,756,0.09126984126984126
Columbia,2018-03-13,740,0.10675675675675676
Columbia,2018-03-14,742,0.09973045822102426
Columbia,2018-03-15,820,0.11585365853658537
Columbia,2018-03-16,708,0.10875706214689265
Columbia,2018-03-17,800,0.0875
Columbia,2018-03-18,744,0.09274193548387097
Columbia,2018-03-19,751,0.09454061251664447
Columbia,2018-03-20,778,0.10668380462724936
Columbia,2018-03-21,793,0.15258511979823455
Columbia,2018-03-22,754,0.07427055702917772
Columbia,2018-03-23,773,0.08408796895213454
Columbia,2018-03-24,764,0.07460732984293193
Columbia,2018-03-25,735,0.10748299319727891
Columbia,2018-03-26,742,0.10107816711590296
Columbia,2018-03-27,804,0.07462686567164178
Columbia,2018-03-28,808,0.09405940594059406
Columbia,2018-03-29,765,0.08627450980392157
Columbia,2018-03-30,772,0.08678756476683938
Columbia,2018-03-31,813,0.08733087330873308
Columbia,2018-04-01,742,0.0889487870619946
Columbia,2018-04-02,806,0.10669975186104218
Columbia,2018-04-03,733,0.1009549795361528
Columbia,2018-04-04,801,0.08614232209737828
Columbia,2018-04-05,787,0.09275730622617535
Columbia,2018-04-06,756,0.07804232804232804
Columbia,2018-04-07,763,0.08519003931847968
Columbia,2018-04-08,752,0.08909574468085106
Columbia,2018-04-09,759,0.08827404479578392
Columbia,2018-04-10,784,0.08418367346938775
Columbia,2018-04-11,770,0.07792207792207792
Columbia,2018-04-12,735,0.07891156462585033
Columbia,2018-04-13,733,0.08594815825375171
Columbia,2018-04-14,748,0.06951871657754011
Columbia,2018-04-15,747,0.12048192771084337
Columbia,2018-04-16,743,0.08075370121130551
Columbia,2018-04-17,765,0.09281045751633987
Columbia,2018-04-18,787,0.0940279542566709
Columbia,2018-04-19,772,0.09585492227979274
Columbia,2018-04-20,781,0.056338028169014086
